docking station,loop,timed,loop time,dubins path,Catamaran
FALSE,TRUE,TRUE,10800,FALSE,FALSE
lat,long,action,time to point,hold-radius,docking traj
-33.72276582978362,150.6739871096942,move,1000
-33.722591395635675,150.67396545354924,move,1000
-33.722558410710334,150.6739849539474,move,1000
-33.72252285472656,150.67401201021485,move,1000
-33.722522731085704,150.6740417474947,move,1000
-33.72252406713633,150.6740763525298,move,1000
-33.72254561928848,150.6741104120264,move,1000
-33.722557063376044,150.6741447443067,move,1000
-33.72256850745452,150.67417907659646,move,1000
-33.72259997870818,150.6741714472113,move,1000
-33.7226314499609,150.67416381781987,move,1000
-33.72266292121286,150.67415618842216,move,1000
-33.72269439246399,150.6741485590183,move,1000
-33.72270106818861,150.6741294855361,move,1000
-33.722707743910156,150.67411041205125,move,1000
-33.722714419628616,150.67409133856344,move,1000
-33.72272109534401,150.67407226507288,move,1000
-33.72268867042457,150.6740455621624,move,1000
-33.7226562455,150.67401885927163,move,1000
-33.72262382057038,150.6739921564006,move,1000
-33.722591395635675,150.67396545354924,move,1000
