docking station,loop,timed,loop time,dubins path,Catamaran
FALSE,TRUE,TRUE,10800,FALSE,FALSE
lat,long,action,time to point,hold-radius,docking traj
-33.72276582978362,150.6739871096942,move,1000
-33.722681202425214,150.67384335913133,move,1000
-33.722646662036944,150.67386602045633,move,1000
-33.722722289164885,150.67402995350776,move,1000
-33.72268186089455,150.67405436869325,move,1000
-33.722631321872115,150.67393820177418,move,1000
-33.72260133739427,150.67395937190898,move,1000
-33.72265475914199,150.67407661300197,move,1000
-33.72262396966722,150.67410629023263,move,1000
-33.722583731227836,150.67403298645897,move,1000
-33.722551772530444,150.67406131688068,move,1000
-33.72258269731988,150.67412613902852,move,1000
-33.72255008940964,150.67415012759486,move,1000
